Assemblage_Name	2-9003099-4	1-1991042-8042047	1-9362458-8042047	3573471-1324393-1	0-8146201-1	5031861-2-1	3889059-1782250-1	3-4065276-4	3889059-4683744-1	1-2-6717797	9947299-2-1	0-7612833-1	3889059-2-3662767	0-0-9628366	0-2-8268219	0-0-7858946	3443813-2-1	8398743-9853810-9112443	2903325-2519904-1	1-228400-8042047	5516706-0-3	0-2-8809867	1-5069620-8042047	0-3-2508413	6228039-1834400-1	2-1304410-4	0-2-7083828	4-2-3656075	1696318-2-4	3573471-6469843-1	4312936-2519904-1	1-7206273-8042047	9540292-1991042-8042047	3889059-5110904-1	1-5376133-8042047	4-2-2891108	3517029-5376133-8042047	4-2-7425469	0-2771318-7105968	4-2-4872345	4707801-2-1	545370-1782250-1	2-8377211-4	8433005-2-1	4663033-2-1	3889059-4202277-1	0-0-2116068	0-2-7463834	3573471-2-1	3957701-2-4	0-0-3	1098519-2-1	4-4008056-4	2-3-1627463	6278865-2-9835983	3284463-3633900-7559077	0-2-7105968	3889059-2-1	3889059-1834400-1	3573471-6908546-1	0-3-5773498	0-3-4	1028169-4-4	1-5376133-2840078	7481847-4683744-1	8681047-2-1	1-1991042-114095	3889059-6991505-1	0-6213268-1	1-2-1	4663033-2-9800038	3889059-2-9835983	1696318-2-2242375	4-9853810-0	5180940-5376133-8042047	1-3887276-8042047	1-5376133-8205589	2761941-1782250-1	3889059-8680991-1	3284463-3129-7559077	0-4906442-4	0-2-8396282	1-1991042-2177963	2-3-4	1-7162694-8042047	2-3-2527505	3889059-2-848170	3573471-2-2264430	0-0-8206287	493157-7267559-4	2-7259674-4	9075036-2-1	1823780-0-3	4272409-5376133-8042047	5847069-2-4	0-2-419652	0-1415315-4	0-2-1	4-3194535-4	1742483-0-3	411181-2-1	0-3-603733	0-2-9299650	0-3-6314101	1-1991042-2340266	4-3129-5477059	0-0-9441496	0-2-1864347	4-2-4	0-7954904-1	5564740-1991042-8042047	0-9579195-7105968	3-4-4	4-3129-0	0-1360950-1	4-518394-4	4-2029701-2891108	1-2691945-8042047	3889059-2-4981095	0-2288135-1	4-2-1689290	3573471-2-8270622	0-5836925-6625103	6736508-2-1	5154808-2-7105968	8335267-2-1	0-1966021-7105968	0-8869046-1	0-0-6625103	846544-2-4	4-3129-3734499	4-9739963-4	4-2-8469275	1-2998145-8042047	4-6618443-4	4-3129-7559077	0-2-330510	4-9853810-9112443	8005495-2-1	2-8330347-1627463	0-6499378-1	4-1964631-4	3865773-2-4	7751642-5376133-8042047	0-9235491-1	8879959-2-1	1823780-6901285-3	1-6119060-8042047	6222555-2-1	3284463-6288988-7559077	8069865-2-4	4-3129-892927	1-2-604074	3131116-3-4	2258264-3-4
assemblage-517-514	0	75	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	61	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	7	14	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	6	0	0	0	0	0	0	0	66	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	3	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43
assemblage-543-670	0	61	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	43	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	14	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49
assemblage-556-482	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	7	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	38	27	0	0	0	47	0	0	0	26	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	12	53	9	0	0	0	18	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	24
assemblage-504-504	0	95	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	5	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	6	32	40	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	13	0	0	0	24	4	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48
assemblage-584-478	0	53	0	0	0	0	12	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	75	0	8	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	13	6	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	3	0	0	0	0	0	0	0	75	0	0	0	0	0	25	0	0	0	14	0	0	0	0	0	0	6	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
assemblage-578-596	0	14	0	0	0	0	8	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	10	0	33	69	0	0	0	59	0	0	0	0	0	0	0	0	8	10	0	0	8	0	0	0	0	7	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	53	26	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
assemblage-548-431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	8	0	0	0	0	0	54	18	0	0	0	28	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	33	0	0	8	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	58
assemblage-584-407	0	87	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	78	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	8	0	0	0	30	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	20	9	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	4	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43
assemblage-539-470	0	90	0	0	0	0	7	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	7	99	0	0	0	0	0	0	8	0	0	0	9	0	0	0	0	0	0	0	0	0	0	32	18	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	4	0	0	0	6	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
assemblage-392-436	0	63	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	101	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	15	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	7	0	0	0	3	3	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38
assemblage-539-478	0	75	0	0	0	0	5	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	76	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	7	7	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	12	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38
assemblage-735-485	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	10	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	46	64	0	0	0	38	0	0	0	14	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	2	48	35	0	0	0	16	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-414-450	0	78	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	10	15	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	61
assemblage-511-498	0	77	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	8	0	0	0	0	0	12	0	0	0	0	0	9	0	0	0	0	0	0	0	0	34	37	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	26	0	0	0	20	5	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55
assemblage-708-415	0	0	3	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	46	0	0	0	0	0	0	5	0	0	0	29	0	0	0	10	0	0	0	5	0	0	9	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	5	0	0	11	0	78	0	0	0	0	0	0	0	0	0	0	46	0	0	0	11	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49
assemblage-494-424	0	42	0	0	0	0	8	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	51	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	12	0	17	0	0	0	0	0	0	0	0	0	0	8	47	0	0	0	0	0	0	0	0	0	0	65	11	0	0	0	10	8	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
assemblage-402-661	0	91	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	77	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	11	18	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35
assemblage-490-273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	11	0	0	0	0	0	19	16	0	0	0	28	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	7	0	0	0	0	0	0	0	0	53	0	0	0	0	26	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56
assemblage-484-480	0	59	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	87	0	7	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	14	14	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	10	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39
assemblage-643-624	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	23	0	0	0	0	0	23	18	10	0	0	24	0	0	0	32	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	59	0	0	0	8	27	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	6	0	0	40
assemblage-517-425	0	69	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	6	109	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	24	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	11	0	0	0	9	12	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
assemblage-571-521	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	11	0	21	53	0	0	0	62	0	0	0	0	0	0	0	0	13	10	0	0	16	0	0	0	0	11	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	5	60	0	0	0	0	0	0	0	0	0	0	43	12	0	0	0	7	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
assemblage-575-628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	16	0	0	0	11	0	3	0	0	0	0	0	60	19	8	0	0	22	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	53	6	0	12	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	28
assemblage-504-605	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	64	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	6	0	0	0	0	0	0	0	68	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53
assemblage-505-604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	9	0	0	0	25	0	12	0	0	0	0	0	31	7	0	0	0	25	0	0	0	29	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	13	0	0	0	0	0	0	0	0	51	0	0	0	7	21	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	49
assemblage-593-363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	55	0	0	0	0	0	0	10	0	0	0	41	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	10	0	0	5	0	79	0	6	0	0	0	0	0	0	0	0	25	0	0	0	8	26	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
assemblage-494-568	0	0	0	0	0	0	0	9	0	3	0	0	0	7	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	81	10	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	24	0	0	0	11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40
assemblage-485-592	0	49	0	0	0	0	16	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	52	37	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	9	0	8	0	0	0	0	0	0	0	0	0	0	17	61	0	0	0	0	0	0	0	0	0	0	67	10	0	0	0	7	7	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
assemblage-401-274	0	44	0	0	0	0	11	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	40	0	0	0	32	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	14	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	7	56	0	0	0	0	0	0	0	0	0	0	76	11	0	0	0	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
assemblage-554-462	0	17	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	5	0	35	63	0	0	0	40	0	0	0	6	0	0	0	0	18	0	0	0	6	0	0	0	0	5	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	52	17	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
assemblage-586-332	0	0	0	0	0	0	0	0	0	12	0	0	0	14	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	107	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	9	0	0	3	0	71	0	0	0	0	0	0	0	0	0	0	33	0	0	0	3	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43
assemblage-459-519	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	70	5	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	21	0	0	0	13	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47
assemblage-407-621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	14	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	42	29	0	0	0	64	0	0	0	9	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	12	42	12	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
assemblage-494-697	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	7	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	28	58	0	0	0	35	0	0	0	8	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	4	45	6	0	0	0	21	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
assemblage-614-342	0	74	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	74	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	14	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	11	0	0	0	0	0	0	0	60	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51
assemblage-627-533	0	48	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	73	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	13	0	13	0	0	0	0	0	0	0	0	0	0	28	67	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38
assemblage-559-406	0	66	0	0	0	0	5	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	65	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	11	11	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	8	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
assemblage-459-453	0	101	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	6	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	9	25	38	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	16	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
assemblage-360-364	0	91	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	5	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	42	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	9	0	0	0	22	4	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
